,icao24,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription
8020,ae035c,58-0062,BOEING,Boeing,Boeing KC-135T,K35R,17807,,L4J,United States Air Force,AIR CHIEF,AIO,,United States Air Force,,,,,,,,,False,False,False,,
8021,70c0ef,A4O-SD,BOEING,Boeing,787 9,B789,38892,,L2J,,OMAN AIR,OMA,,Oman Air,,,,,,,,,False,False,False,,
8022,a7a0f7,N59087,STEARMAN,Boeing,Stearman A75 PT-13A Kaydet,ST75,75-7278,,L1P,,,,,Private,,,,,,,,,False,False,False,,
8023,424924,VQ-BCV,AIRBUS,Airbus,A330 343E,A333,1072,,L2J,,AEROFLOT,AFL,,Aeroflot Russian Airlines,,,,,,,,,False,False,False,,
8024,a272bf,N257NV,AIRBUS,Airbus,A320-214,A320,8329,,L2J,Allegiant Air,ALLEGIANT,AAY,G4,Allegiant Air Llc,,,2028-11-30,,2018-01-01,,,CFM INTL CFM56-5B4/3,False,False,False,,
8025,abd8e4,N8622A,BOEING,Boeing,737-8H4,B738,36919,,L2J,Southwest Airlines,SOUTHWEST,SWA,WN,Wells Fargo Trust Co Na Trustee,,,2030-01-31,,2013-01-01,,,CFM INTL CFM56-7B27E,False,False,False,,No ADS-B Emitter Category Information
8026,4cc3e2,TF-AAC,BOEING,Boeing,747 481,B744,29262,,L4J,,SAUDIA,SVA,,Saudi Arabian Airlines,,2012-02-01,,,,,,,False,False,False,,No ADS-B Emitter Category Information
8027,7bb03c,B-2962,BOEING,Boeing,737 35NSF,B733,28157,,L2J,China Postal Airlines,CHINA POST,CYZ,8Y,China Postal Airlines,,,,,,,,,False,False,False,,
8028,3949f8,F-GSPY,BOEING,Boeing,777 228ER,B772,32305,,L2J,,AIRFRANS,AFR,,Air France,,,,,,,,,False,False,False,,
8029,ad40a0,N953JM,BOEING,Boeing,747-438,B744,25151,,L4J,,,,,Alta Airlines Holdings Llc,,,2027-12-31,,,,,,False,False,False,,
8030,601849,EZ-A014,BOEING,Boeing,757 22K,B752,30863,,L2J,,TURKMENISTAN,TUA,,Turkmenistan Airlines,,,,,,,,,False,False,False,,
8031,3950d0,F-GUGQ,AIRBUS,Airbus,A318-111,A318,2972,,L2J,Air France,AIRFRANS,AFR,AF,Air France,,,,,,,,,False,False,False,,
