,icao24,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription
10018,a7598c,N57299,,Boeing,737-8,,67555,,,,,,,Wilmington Trust Co Trustee,,,2030-03-31,,2023-01-01,,,CFM INTL LEAP-1B28 SER,False,False,False,,
10019,4d2223,9H-QEK,BOEING,Boeing,737-8AS (W),B738,44830,6857,L2J,Malta Air Limited - Malta,,MAY,,Malta Air,,,,,,,,CFMI CFM56-7B26,False,False,False,,
10020,851c20,JA343J,BOEING,Boeing,737NG 846/W,B738,39192,,L2J,,J-BIRD,JAL,,Japan Airlines,,,,,,,,,False,False,False,,
10021,710247,HZ-A5,AIRBUS,Airbus,ACJ318 112 Elite,A318,2910,,L2J,,,,,Alpha Star Aviation,,,,,,,,,False,False,False,,
10022,aa73c3,N7727A,BOEING,Boeing,737-76N,B737,32673,,L2J,,SOUTHWEST,SWA,,Southwest Airlines Co,,,2028-11-30,,2006-01-01,,,CFM INTL CFM56-7B22,False,False,False,,
10023,a03ed2,N115AM,BOEING,Boeing,737-9,B39M,43371,,L2J,,,,,Alc B379 122019 Llc,,,2028-06-30,,2021-01-01,,,CFM INTL LEAP-1B28 SER,False,False,False,,
10024,ad493b,N955WN,BOEING,Boeing,737-7H4,B737,36671,,L2J,,SOUTHWEST,SWA,,Southwest Airlines Co,,,2027-04-30,,2011-01-01,,,CFM INTL CFM56-7B24/3,False,False,False,,
10025,8a0599,PK-LPL,BOEING,Boeing,737NG 8GP/W,B738,39870,,L2J,,LION INTER,LNI,,Lion Air,,,,,,,,,False,False,False,,
10026,780ab3,B-LCM,AIRBUS,Airbus,A320 271NSL,A20N,7273,,L2J,,HONGKONG SHUTTLE,HKE,,Hong Kong Express Airways,,,,,,,,,False,False,False,,
10027,a83f8c,N630UP,BOEING,Boeing,747-8F,B748,65777,,L4J,United Parcel Service,UPS,UPS,5X,United Parcel Service Co,,,2028-10-31,,2021-01-01,,,GE GENX-2B67/P,False,False,False,,
10028,740823,JY-BAC,BOEING,Boeing,B787-8,B788,37164,,L2J,Royal Jordanian,JORDANIAN,RJA,RJ,Royal Jordanian Airlines,,,,,,,,,False,False,False,,
10029,70e03b,XU-706,AIRBUS,Airbus,A320 214,A320,986,,L2J,,SKY ANGKOR,SWM,,Sky Angkor Airlines,,,,,,,,,False,False,False,,
10030,8963d5,A6-EPF,BOEING,Boeing,777 31HER,B77W,42325,,L2J,,EMIRATES,UAE,,Emirates Airline,,,,,,,,,False,False,False,,
10031,503caf,LY-SPI,AIRBUS,Airbus,Airbus A320 214,A320,914,,L2J,,,LLC,,Small Planet Airlines Lithuania,,,,,,,,,False,False,False,,
10032,06a0b0,A7-BCL,BOEING,Boeing,787 8,B788,38330,64,L2J,Qatar Airways,QATARI,QTR,QR,Qatar Airways,,2012-11-07,,,2012-01-01,,,,False,False,False,,
10033,a72e6c,N562AV,AIRBUS,Airbus,A320-214,A320,5622,,L2J,, S.A.,AVA,,Wells Fargo Trust Co Na Trustee,,,2029-05-31,,2013-01-01,,,CFM INTL CFM56-5B4/3,False,False,False,,
10034,a7081a,N552NW,BOEING,Boeing,757-251,B752,26499,,L2J,,DELTA,DAL,,Delta Air Lines Inc,,,2029-06-30,,2001-01-01,,,P & W PW2037,False,False,False,,
10035,4baa70,TC-JSP,AIRBUS,Airbus,A321 231SL,A321,6599,,L2J,,TURKAIR,THY,,Turkish Airlines,,,,,,,,,False,False,False,,
10036,3c656c,D-AIKL,AIRBUS,Airbus,A330 343E,A333,905,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,False,False,False,,
10037,acb992,N919RA,,Boeing,737-809,,30174,,,,,,,Tvpx Aircraft Solutions Inc Trustee,,,2029-12-31,,,,,,False,False,False,,
10038,3c6515,D-AIHU,AIRBUS,Airbus,A340 642,A346,848,,L4J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,False,False,False,,
10039,79a013,B-2358,AIRBUS,Airbus,A320 214,A320,838,,L2J,,CHINA EASTERN,CES,,China Eastern Airlines,,,,,,,,,False,False,False,,
10040,880db6,11-111,BOEING,Boeing,737 4Z6,B734,27906,,L2J,,,,,Royal Thai Air Force,,,,,,,,,False,False,False,,
10041,c021f6,C-FMWJ,BOEING,Boeing,737-7CT (Boeing),B737,32771,,L2J,,WESTJET,WJA,,Westjet,,2005-07-28,,,,,,,False,False,False,,
10042,899031,B-16728,BOEING,Boeing,Boeing 777-35E(ER),B77W,42104,,L2J,,EVA,EVA,,Eva Air,,,,,,,,,False,False,False,,Heavy (> 300000 lbs)
10043,7802e6,B-5303,BOEING,Boeing,737NG 85C/W,B738,35050,,L2J,,XIAMEN AIR,CXA,,Xiamen Airlines,,,,,,,,,False,False,False,,
10044,780740,B-8228,AIRBUS,Airbus,A320 232SL,A320,6624,,L2J,,CHINA EASTERN,CES,,China Eastern Airlines,,,,,,,,,False,False,False,,
10045,4a09a8,YR-BMH,BOEING,Boeing,737NG 8K5/W,B738,27989,,L2J,Blue Air,BLUE TRANSPORT,JOR,0B,Blue Air,,,,,,,,,False,False,False,,
10046,3949e5,F-GSPF,BOEING,Boeing,777 228ER,B772,29007,,L2J,,AIRFRANS,AFR,,Air France,,,,,,,,,False,False,False,,
10047,800543,VT-PPU,AIRBUS,Airbus,A321 211,A321,4096,,L2J,,AIRINDIA,AIC,,Air India,,,,,,,,,False,False,False,,
10048,06a078,A7-BAK,BOEING,Boeing,Boeing 777 3DZER,B77W,36097,,L2J,,QATARI,QTR,,Qatar Airways,,,,,,,,,False,False,False,,
10049,75025a,9M-MTG,AIRBUS,Airbus,A330 323E,A333,1318,,L2J,,MALAYSIAN,MAS,,Malaysia Airlines,,,,,,,,,False,False,False,,
10050,a7b6b4,N59646,STEARMAN,Boeing,A75L3,ST75,75-1732,,L1P,,,,,Nolan John R,,,2027-04-30,,,,,,False,False,False,,
10051,aa3417,N757AN,BOEING,Boeing,777-223,B772,32636,,L2J,,AMERICAN,AAL,,American Airlines Inc,,,2028-10-31,,2001-01-01,,,ROLLS-ROYC RB-211 SERIES,False,False,False,,
10052,06a0bd,A7-BCY,BOEING,Boeing,787 8,B788,38343,354,L2J,Qatar Airways,QATARI,QTR,QR,Qatar Airways,,2015-11-05,,,2015-01-01,,,,False,False,False,,
10053,a849ab,N633JB,AIRBUS,Airbus,A320-232,A320,2671,,L2J,,JETBLUE,JBU,,Jetblue Airways Corp,,,2029-07-31,,2006-01-01,,,IAE V2500SERIES,False,False,False,,
10054,80071e,VT-JWR,AIRBUS,Airbus,Airbus A330 302,A333,1351,,L2J,,JET AIRWAYS,JAI,,Jet Airways,,,,,,,,,False,False,False,,
10055,3c6610,D-AIPP,AIRBUS,Airbus,A320 211,A320,110,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,False,False,False,,
10056,a4455e,N37420,BOEING,Boeing,737-924ER,B739,33457,,L2J,,UNITED,UAL,,United Airlines Inc,,,2030-01-31,,2008-01-01,,,CFM INTL CFM56-7B26,False,False,False,,
10057,798034,B-6033,AIRBUS,Airbus,A319 132,A319,2205,,L2J,,AIR CHINA,CCA,,Air China,,,,,,,,,False,False,False,,
10058,758329,RP-C3344,AIRBUS,Airbus,A330 343E,A333,1527,,L2J,,CEBU AIR,CEB,,Cebu Pacific Air,,,,,,,,,False,False,False,,
10059,a5efdb,N48182,STEARMAN,Boeing,A75N1(PT17),ST75,75-967,,L1P,,,,,American Airpower Heritage Flying Museum,,,2029-10-31,,1940-01-01,,,JACOBS R755B SERIES,False,False,False,,
10060,a7e310,N607UP,BOEING,Boeing,747-8F,B748,64265,,L4J,United Parcel Service,UPS,UPS,5X,C C & E I Llc,,,2027-10-31,,2017-01-01,,,GE GENX-2B67/P,False,False,False,,Heavy (> 300000 lbs)
10061,71bf22,HL7722,AIRBUS,Airbus,A321 231,A321,2041,,L2J,,Air Busan,ABL,,Air Busan,,,,,,,,,False,False,False,,
10062,861e78,JA611J,BOEING,Boeing,767 346ER,B763,33847,,L2J,,J-BIRD,JAL,,Japan Airlines,,,,,,,,,False,False,False,,
10063,394a0a,F-GSQK,BOEING,Boeing,777 328ER,B77W,32845,,L2J,,AIRFRANS,AFR,,Air France,,,,,,,,,False,False,False,,
10064,4243f2,VQ-BWJ,BOEING,Boeing,737NG 8LJ/W,B738,41212,,L2J,,PULKOVO,SDM,,Rossiya Russian Airlines,,,,,,,,,False,False,False,,
10065,44ce65,OO-SSE,AIRBUS,Airbus,A319 112,A319,2700,,L2J,Brussels Airlines,BEE-LINE,BEL,SN,Brussels Airlines,,,,,2006-02-28,,,,False,False,False,,No ADS-B Emitter Category Information
10066,a00c7a,N102DN,AIRBUS,Airbus,A321-211,A321,9485,,L2J,Delta Air Lines,DELTA,DAL,DL,Delta Air Lines Inc,,,2030-03-31,,2020-01-01,,,CFM INTL CFM56-5B3/3,False,False,False,,
10067,a8bf5c,N66299,STEARMAN,Boeing,A75N1(PT17),ST75,75-7988,,L1P,,,,,Johnson Lawrence F,,,2027-04-30,,1943-01-01,,,CONT MOTOR W670 SERIES,False,False,False,,
10068,a8fd21,N67895,STEARMAN,Boeing,E75,ST75,75-7593,,L1P,,,,,Keller Dave C,,,2027-06-30,,1943-01-01,,,CONT MOTOR W670 SERIES,False,False,False,,
10069,4240b6,VP-BIG,BOEING,Boeing,747 46NERF,B744,35420,,L4J,,,,,Airbridgecargo,,,,,,,,,False,False,False,,
10070,7805ee,B-5495,BOEING,Boeing,737NG 89L/W,B738,36749,,L2J,,AIR CHINA,CCA,,Air China,,,,,,,,,False,False,False,,
10071,851164,JA313J,BOEING,Boeing,737NG 846/W,B738,35342,,L2J,,J-BIRD,JAL,,Japan Airlines,,,,,,,,,False,False,False,,
10072,e48990,PR-AVJ,AIRBUS,Airbus,A318 122,A318,3030,,L2J,,OCEANAIR,ONE,,Avianca Brasil,,,,,,,,,False,False,False,,
10073,a784bb,N58392,STEARMAN,Boeing,Stearman A75N1 PT-17 Kaydet,ST75,75-2944,,L1P,,,,,Private,,,,,,,,,False,False,False,,
10074,7811f5,B-1495,BOEING,Boeing,737NG 800/W,B738,63614,,L2J,,HAINAN,CHH,,Hainan Airlines,,,,,,,,,False,False,False,,
10075,a469e9,N3838K,STEARMAN,Boeing,E75,ST75,75-8079,,L1P,,,,,Stone Air Llc,,,2028-07-31,,,,,P&W R-985 SERIES,False,False,False,,
10076,a44aa2,N376FR,AIRBUS,Airbus,A320-251N,A20N,10327,,L2J,,,,,Wilmington Trust Co Trustee,,,2027-12-31,,2020-01-01,,,CFM INTL LEAP-1A26,False,False,False,,
10077,abefba,N8686A,BOEING,Boeing,737-8H4,B738,36938,,L2J,,SOUTHWEST,SWA,,Southwest Airlines Co,,,2029-06-30,,2016-01-01,,,CFM INTL CFM56-7B27E/F,False,False,False,,
10078,a740ff,N567AV,AIRBUS,Airbus,A320-214,A320,4567,,L2J,, S.A.,AVA,,Bank Of Utah Trustee,,,2029-03-31,,2011-01-01,,,CFM INTL CFM56-5B4,False,False,False,,
10079,86cf67,JA808P,AIRBUS,Airbus,A320 214,A320,5540,,L2J,Peach Aviation,Air Peach,,MM,Peach Aviation,,,,,,,,,False,False,False,,
10080,adc57d,N987DN,BOEING,Boeing,Boeing 717-23S,B712,55064,,L2J,Delta Air Lines,DELTA,DAL,DL,Delta Air Lines,,,,,,2020-05-01,,,False,False,False,,
10081,a43f51,N373DX,AIRBUS,Airbus,A321-211,A321,8734,,L2J,Delta Air Lines,DELTA,DAL,DL,Bank Of Utah Trustee,,,2029-03-31,,2019-01-01,,,CFM INTL CFM56-5B3/3,False,False,False,,
10082,e4882f,PR-SDL,BOEING,Boeing,737 3S3SF,B733,24060,,L2J,,,,,Sideral Air Cargo,,,,,,,,,False,False,False,,
10083,3c4aa6,D-ABUF,BOEING,Boeing,767 330ER/W,B763,26985,,L2J,,CONDOR,CFG,,Condor Flugdienst,,,,,,,,,False,False,False,,
10084,a84d6c,N634JM,STEARMAN,Boeing,PT-17,ST75,75-2955,,L1P,,,,,Collings Foundation Inc Dba,,,2029-12-31,,1942-01-01,,,CONT MOTOR W670 SERIES,False,False,False,,
10085,3f8519,10+25,AIRBUS,Airbus,Airbus A310-304MRTT,A310,484,,L2J,,,,,Luftwaffe  	fbsbmvg,,,,,,,,,False,False,False,,
10086,a6c2f8,N53493,STEARMAN,Boeing,PT-17,ST75,75-1480,,L1P,,,,,Stearman Pt 17 Llc,,,2028-03-31,,1941-01-01,,,P&W R-985 SERIES,False,False,False,,
10087,885172,HS-TKR,BOEING,Boeing,777 3ALER,B77W,41527,,L2J,,THAI,THA,,Thai Airways International,,,,,,,,,False,False,False,,
10088,780f95,B-7636,BOEING,Boeing,737NG 89P/W,B738,41586,,L2J,,SHANGHAI AIR,CSH,,Shanghai Airlines,,,,,,,,,False,False,False,,
10089,a3d87d,N347NB,AIRBUS,Airbus,A319-114,A319,1800,,L2J,,DELTA,DAL,,Delta Air Lines Inc,,,2029-06-30,,2002-01-01,,,CFM INTL. CFM56 SERIES,False,False,False,,Large (75000 to 300000 lbs)
10090,424970,VQ-BGZ,BOEING,Boeing,747 8HVF,B748,37580,,L4J,,,,,Airbridgecargo,,,,,,,,,False,False,False,,
10091,a0a6e9,N141FE,BOEING,Boeing,767-300F,B763,42724,,L2J,Federal Express,FEDEX,FDX,FX,Federal Express Corp,,,2029-10-31,,2016-01-01,,,GE CF6-80C2B6F,False,False,False,,
10092,3c674a,D-AIZJ,AIRBUS,Airbus,Airbus A320 214,A320,4449,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,False,False,False,,
10093,78045e,B-6100,AIRBUS,Airbus,A330 343E,A333,928,,L2J,,CHINA EASTERN,CES,,China Eastern Airlines,,,,,,,,,False,False,False,,
10094,a6b7ec,N532AS,BOEING,Boeing,737-890,B738,36346,,L2J,, Inc.,ASA,,Alaska Airlines Inc,,,2027-10-31,,2010-01-01,,,CFM INTL CFM56-7B27,False,False,False,,
10095,89629f,A6-SIL,BOEING,Boeing,Boeing 777 35RER,B773,36563,,L2J,,SULTAN,AUH,,Abu Dhabi Amiri Flight,,,,,,,,,False,False,False,,
10096,8990b0,B-18657,BOEING,Boeing,737NG 8FH/W,B738,39943,,L2J,,DYNASTY,CAL,,China Airlines,,,,,,,,,False,False,False,,
10097,780575,B-5450,BOEING,Boeing,737NG 85N/W,B738,36773,,L2J,,SHANDONG,CDG,,Shandong Airlines,,,,,,,,,False,False,False,,
10098,3c0ca0,D-ATUH,BOEING,Boeing,Boeing 737NG 8K5/W,B738,34689,,L2J,,,TUI,,Tuifly,,,,,,,,,False,False,False,,
10099,02a18a,TS-IMK,AIRBUS,Airbus,A319 114,A319,880,,L2J,,TUNAIR,TAR,,Tunisair,,,,,,,,,False,False,False,,
10100,ac0f6c,N8763L,,Boeing,737-8,,67215,,,Southwest Airlines,SOUTHWEST,SWA,WN,Southwest Airlines Co,,,2029-06-30,,2022-01-01,,,CFM INTL LEAP-1B28 SER,False,False,False,,
10101,78115b,B-8383,AIRBUS,Airbus,A330 343E,A333,1802,,L2J,,AIR CHINA,CCA,,Air China,,,,,,,,,False,False,False,,
10102,a794e1,N588NW,BOEING,Boeing,757-351,B753,32988,,L2J,,DELTA,DAL,,Delta Air Lines Inc,,,2029-06-30,,2003-01-01,,,P & W PW2040,False,False,False,,
10103,728639,YI-AQY,AIRBUS,Airbus,A330 202,A332,1339,,L2J,,IRAQI,IAW,,Iraqi Airways,,,,,,,,,False,False,False,,
10104,a690a8,N522DA,AIRBUS,Airbus,A321-271NX,A21N,11154,,L2J,Delta Air Lines,DELTA,DAL,DL,Delta Air Lines Inc,,,2029-12-31,,2022-01-01,,,IAE PW1133G-JM,False,False,False,,
10105,484490,P4-VAS,AIRBUS,Airbus,A320 232,A320,3141,,L2J,,ASTANALINE,KZR,,Air Astana,,,,,,,,,False,False,False,,
10106,8a057e,PK-CMO,BOEING,Boeing,737NG 9LFER/W,B739,41712,,L2J,,SRIWIJAYA,SJY,,Sriwijaya Air,,,,,,,,,False,False,False,,
10107,a085b2,N1325M,STEARMAN,Boeing,Stearman E75 N2S-5 Kaydet,ST75,75-8484,,L1P,,,,,Private,,,,,,,,,False,False,False,,
10108,7807cc,B-6823,AIRBUS,Airbus,A321 232,A321,4873,,L2J,,AIR CHINA,CCA,,Air China,,,,,,,,,False,False,False,,
10109,78016f,B-HNG,BOEING,Boeing,777 367,B773,27505,,L2J,,CATHAY,CPA,,Cathay Pacific Airways,,,,,,,,,False,False,False,,
10110,ac6364,N898DN,BOEING,Boeing,737-900ER,B739,62778,,L2J,Delta Air Lines,DELTA,DAL,DL,Delta Air Lines Inc,,,2028-05-31,,2018-01-01,,,CFM INTL. CFM56 SERIES,False,False,False,,
10111,abd8a5,N8620H,BOEING,Boeing,737-8H4,B738,42526,,L2J,,SOUTHWEST,SWA,,Southwest Airlines Co,,,2029-12-31,,2013-01-01,,,CFM INTL CFM56-7B27E,False,False,False,,
10112,a8e279,N6715C,BOEING,Boeing,757-232,B752,30486,,L2J,,DELTA,DAL,,Delta Air Lines Inc,,,2029-09-30,,2001-01-01,,,P & W PW2037,False,False,False,,
10113,4b842a,TC-AAJ,BOEING,Boeing,Boeing 737NG 82R/W,B738,35702,,L2J,,SUNTURK,PGT,,Pegasus Airlines,,,,,,,,,False,False,False,,
10114,3c6657,D-AIRW,AIRBUS,Airbus,A321 131,A321,699,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,False,False,False,,
10115,4ba8cf,TC-JFO,BOEING,Boeing,737NG 8F2/W,B738,29777,,L2J,,TURKAIR,THY,,Turkish Airlines,,,,,,,,,False,False,False,,
10116,424598,VQ-BSU,AIRBUS,Airbus,Airbus A320 214SL,A320,6090,,L2J,,AEROFLOT,AFL,,Aeroflot Russian Airlines,,,,,,,,,False,False,False,,
10117,8464d2,JA132A,AIRBUS,Airbus,A321 271NSL,A21N,7881,,L2J,,ALL NIPPON,ANA,,All Nippon Airways,,,,,,,,,False,False,False,,
10118,7808e3,B-6921,AIRBUS,Airbus,A320 214,A320,5013,,L2J,,JUNEYAO AIRLINES,DKH,,Juneyao Airlines,,,,,,,,,False,False,False,,
10119,47c071,LN-RGB,BOEING,Boeing,737NG 86N/W,B738,38034,,L2J,,SCANDINAVIAN,SAS,,Scandinavian Airlines System,,,,,,,,,False,False,False,,
10120,79a070,B-6058,AIRBUS,Airbus,A330 243,A332,656,,L2J,,CHINA SOUTHERN,CSN,,China Southern Airlines,,,,,,,,,False,False,False,,
10121,ae11ee,81-0005,BOEING,Boeing,E-3G Sentry,E3TF,22833,,L4J,United States Air Force,AIR CHIEF,AIO,,United States Air Force,,,,,,,,,False,False,False,,Reserved
10122,ac5801,N895BA,BOEING,Boeing,747-85M,B748,42417,,L4J,United States Air Force,AIR CHIEF,AIO,,United States Air Force,,,2028-12-31,,2016-01-01,,,GE GENX-2B67,False,False,False,,
10123,aaf8f1,N806JB,AIRBUS,Airbus,A320-232,A320,5302,,L2J,,JETBLUE,JBU,,Jetblue Airways Corp,,,2028-10-31,,2012-01-01,,,IAE V2527-A5,False,False,False,,
10124,abe5a2,N866FD,BOEING,Boeing,777F,B77L,40672,,L2J,Federal Express Corporation D/b/a Fedex - United States Of America,FEDEX,FDX,FX,Federal Express Corp,,,2029-09-30,,2019-01-01,,,GE GE90-110B1,False,False,False,,
10125,ad273b,N947AT,BOEING,Boeing,717-200,B712,55010,,L2J,,DELTA,DAL,,Delta Air Lines Inc,,,2029-12-31,,1999-01-01,,,BMW ROLLS BR 700 SERIES,False,False,False,,
10126,a2d95e,N283CM,,Boeing,767-381,,40566,,,,,,,Cargo Aircraft Management Inc,,,2030-02-28,,,,,,False,False,False,,
10127,ae04b0,57-1419,BOEING,Boeing,KC-135R,K35R,17490,,L4J,United States Air Force,AIR CHIEF,AIO,,United States Air Force,,,,,,,,,False,False,False,,
10128,502cc9,YL-LCR,AIRBUS,Airbus,Airbus A320 214,A320,984,,L2J,,BEAUTY,JAF,,Tui Airlines Belgium,,,,,,,,,False,False,False,,
10129,71be11,HL7611,AIRBUS,Airbus,A380 861,A388,35,,L4J,,KOREANAIR,KAL,,Korean Air,,,,,,,,,False,False,False,,
10130,33fe92,MM62229,BOEING,Boeing,KC-767A,B762,33689,,L2J,,Italian Airforce,IAM,,Italian Air Force,,,,,,,,,False,False,False,,Reserved
10131,a13386,N177DN,BOEING,Boeing,767-332,B763,25122,,L2J,,DELTA,DAL,,Delta Air Lines Inc,,,2028-04-30,,1991-01-01,,,P&W PW4000 SER,False,False,False,,
10132,4242e1,VP-BTR,AIRBUS,Airbus,A321 211,A321,5913,,L2J,,AEROFLOT,AFL,,Aeroflot Russian Airlines,,,,,,,,,False,False,False,,
10133,0100a4,SU-GCG,AIRBUS,Airbus,A330 243,A332,666,,L2J,,EGYPTAIR,MSR,,Egypt Air,,,,,,,,,False,False,False,,
10134,e48c30,PR-GUY,BOEING,Boeing,737NG 8EH/W,B738,39612,,L2J,,GOL TRANSPORTE,GLO,,Gol Airlines,,,,,,,,,False,False,False,,
10135,ad5395,N958NK,AIRBUS,Airbus,A320-271N,A20N,10860,,L2J,,,,,Umb Bank Na Trustee,,,2029-06-30,,2022-01-01,,,IAE PW1127G-JM,False,False,False,,
10136,8a028f,PK-GFR,BOEING,Boeing,737NG 81D/W,B738,39417,,L2J,,INDONESIA,GIA,,Garuda Indonesia,,,,,,,,,False,False,False,,
10137,00c466,ZS-ZWV,BOEING,Boeing,737NG 8K5/W,B738,30414,,L2J,,COMMERCIAL,CAW,,British Airways,,,,,,,,,False,False,False,,
10138,a9589d,N701DN,BOEING,Boeing,777-232LR,B77L,29740,,L2J,,DELTA,DAL,,Bank Of Utah Trustee,,,2028-04-30,,2008-01-01,,,GE GE90-110B1,False,False,False,,
10139,a5efe1,N48188,STEARMAN,Boeing,A75N1(PT17),ST75,75-951,,L1P,,,,,Rocinante Llc,,,2027-12-31,,1940-01-01,,,CONT MOTOR W670-6N,False,False,False,,
10140,a931d9,N69176,STEARMAN,Boeing,B75N1,ST75,75-6985,,L1P,,,,,Schaller Neil J,,,2030-02-28,,1942-01-01,,,P&W R-985 SERIES,False,False,False,,
10141,a78f92,N5867U,AIRBUS,Airbus,A319-132,A319,2631,,L2J,United Airlines,UNITED,UAL,UA,United Airlines Inc,,,2028-12-31,,,,,,False,False,False,,
10142,780753,B-6787,AIRBUS,Airbus,A320 214,A320,4587,,L2J,,JUNEYAO AIRLINES,DKH,,Juneyao Airlines,,,,,,,,,False,False,False,,
10143,702017,S2-ADK,AIRBUS,Airbus,A310 324,A310,594,,L2J,,BANGLADESH,BBC,,Biman Bangladesh Airlines,,,,,,,,,False,False,False,,
10144,ae1b1d,166678,,Boeing,F/A-18F Hornet,F18,F156,,,,,,,United States Navy,,,,,,,,,False,False,False,,
10145,06a101,A7-ALM,AIRBUS,Airbus,A350 941,A359,42,,L2J,,QATARI,QTR,,Qatar Airways,,,,,,,,,False,False,False,,
10146,a126c4,N17301,,Boeing,737-8,,67554,,,,,,,Umb Bank Na Trustee,,,2030-04-30,,,,,,False,False,False,,
10147,4bb1e7,TC-LOG,AIRBUS,Airbus,A330 343E,A333,1651,,L2J,,TURKAIR,THY,,Turkish Airlines,,,,,,,,,False,False,False,,
10148,a11380,N169DZ,BOEING,Boeing,767-332,B763,29689,,L2J,,DELTA,DAL,,Delta Air Lines Inc,,,2027-08-31,,1998-01-01,,,GE CF6-6,False,False,False,,
10149,a3a9a2,N335NV,AIRBUS,Airbus,A319-111,A319,2852,,L2J,,,,,Sunrise Asset Management Llc,,,2028-04-30,,2006-01-01,,,CFM INTL CFM56-5B5/P,False,False,False,,
10150,4249fc,VQ-BQZ,AIRBUS,Airbus,Airbus A330 343E,A333,1270,,L2J,,AEROFLOT,AFL,,Aeroflot Russian Airlines,,,,,,,,,False,False,False,,
10151,a98b1d,N714CB,BOEING,Boeing,737-7H4,B737,27848,,L2J,,SOUTHWEST,SWA,,Southwest Airlines Co,,,2028-02-29,,1998-01-01,,,CFM INTL. CFM56 SERIES,False,False,False,,
10152,ae1175,02-1103,MCDONNELL DOUGLAS,Boeing,C-17A Globemaster III,C17,P103,,L4J,United States Air Force,AIR CHIEF,AIO,,United States Air Force,,,,,,,,,False,False,False,,Reserved
10153,0a0002,7T-VJH,BOEING,Boeing,767 3D6ER,B763,24767,,L2J,,AIR ALGERIE,DAH,,Air Algerie,,,,,,,,,False,False,False,,
10154,a44cda,N3763D,BOEING,Boeing,737-832,B738,29629,,L2J,,DELTA,DAL,,Delta Air Lines Inc,,,2029-05-31,,2001-01-01,,,CFM INTL. CFM56 SERIES,False,False,False,,
10155,3c5ef8,D-AGWX,AIRBUS,Airbus,A319 132,A319,5569,,L2J,,GERMAN WINGS,GWI,,Germanwings,,,,,,,,,False,False,False,,
10156,780e84,B-6149,BOEING,Boeing,737NG 89P/W,B738,39748,,L2J,,CHINA EASTERN,CES,,China Eastern Airlines,,,,,,,,,False,False,False,,
10157,780092,B-6090,AIRBUS,Airbus,A330 243,A332,860,,L2J,,AIR CHINA,CCA,,Air China,,,,,,,,,False,False,False,,
10158,888056,VN-A371,AIRBUS,Airbus,A330 223,A332,275,,L2J,,VIET NAM AIRLINES,HVN,,Vietnam Airlines,,,,,,,,,False,False,False,,
10159,8852a2,HS-TUB,AIRBUS,Airbus,A380 841,A388,93,,L4J,,THAI,THA,,Thai Airways International,,,,,,,,,False,False,False,,
10160,ad7701,N967JT,AIRBUS,Airbus,A321-231,A321,7257,,L2J,,JETBLUE,JBU,,Jetblue Airways Corp,,,2029-08-31,,2016-01-01,,,IAE V2533-A5,False,False,False,,
10161,780464,B-2656,BOEING,Boeing,737 3Q8SF,B733,26292,,L2J,China Postal Airlines,CHINA POST,CYZ,8Y,China Postal Airlines,,,,,,,,,False,False,False,,
10162,e48006,PR-GTO,BOEING,Boeing,737NG 8EH/W,B738,34964,,L2J,,GOL TRANSPORTE,GLO,,Gol Airlines,,,,,,,,,False,False,False,,
10163,a4a321,N3982B,STEARMAN,Boeing,E75N1,ST75,75-8549,,L1P,,,,,Rounds Chris,,,2028-02-29,,,,,LYCOMING R680-4P-B4,False,False,False,,
10164,8674ac,JA701J,BOEING,Boeing,777 246ER,B772,32889,,L2J,,J-BIRD,JAL,,Japan Airlines,,,,,,,,,False,False,False,,
10165,a74b19,N56929,STEARMAN,Boeing,Stearman A75N1 PT-17 Kaydet,ST75,75-1511,,L1P,,,,,Private,,,,,,,,,False,False,False,,
10166,34334e,EC-LAC,BOEING,Boeing,Boeing 737 3M8F,B733,24022,,L2J,Swiftair,SWIFT,SWT,,Swiftair,,,,,,,,,False,False,False,,
10167,07403e,S7-ADB,AIRBUS,Airbus,A330-203,A332,751,,L2J,Air Seychelles,SEYCHELLES,SEY,HM,Air Seychelles,F-WWKB,2015-10-23,2018-05-12,,2006-01-01,,,,False,False,False,,No ADS-B Emitter Category Information
10168,e06416,LV-FPV,AIRBUS,Airbus,A340 313X,A343,193,,L4J,,ARGENTINA,ARG,,Aerolineas Argentinas,,,,,,,,,False,False,False,,
10169,05401f,5R-EAA,AIRBUS,Airbus,A340 313X,A343,319,,L4J,Air Madagascar,AIR MADAGASCAR,MDG,MD,Air Madagascar,,2012-06-29,,,2000-01-01,,,,False,False,False,,
10170,3964ed,F-GZHN,BOEING,Boeing,737NG 85H/W,B738,29445,,L2J,,FRENCH SUN,TVF,,Transavia France,,,,,,,,,False,False,False,,
10171,344410,EC-LVB,AIRBUS,Airbus,Airbus A320 214,A320,1210,,L2J,,VUELING,VLG,,Vueling Airlines,,,,,,,,,False,False,False,,
